Class,Subject,Chapter,Question,Option A,Option B,Option C,Option D,Correct Option,Difficulty
12,Chemistry,Chemical Kinetics,What is the branch of chemistry that deals with the study of reaction rates and their mechanisms?,Thermodynamics,Chemical Kinetics,Electrochemistry,Surface Chemistry,B,easy
12,Chemistry,Chemical Kinetics,The rate of a chemical reaction is defined as:,Change in concentration of a reactant or product per unit time,Total product formed,Time taken for the reaction to complete,Change in temperature per unit time,A,easy
12,Chemistry,Chemical Kinetics,What are the units of rate of a reaction?,mol L^-1 s^-1,s^-1,mol L^-1,L mol^-1 s^-1,A,easy
12,Chemistry,Chemical Kinetics,The rate of reaction that is measured at any particular instant of time is called:,Average rate,Instantaneous rate,Initial rate,Constant rate,B,easy
12,Chemistry,Chemical Kinetics,"According to the rate law, the rate of a reaction is directly proportional to:",Product of concentration of products,Sum of concentration of reactants,Product of molar concentrations of reactants with each term raised to some power,Volume of the container,C,moderate
12,Chemistry,Chemical Kinetics,The sum of powers of the concentration of the reactants in the rate law expression is called:,Molecularity,Order of the reaction,Rate constant,Equilibrium constant,B,easy
12,Chemistry,Chemical Kinetics,Which of the following can be zero or a fraction?,Molecularity,Order of reaction,Rate of reaction,Activation energy,B,moderate
12,Chemistry,Chemical Kinetics,"The number of reacting species taking part in an elementary reaction, which must collide simultaneously, is called:",Order of reaction,Rate constant,Molecularity,Collision frequency,C,easy
12,Chemistry,Chemical Kinetics,Molecularity of a reaction cannot be:,One,Two,Three,Zero,D,moderate
12,Chemistry,Chemical Kinetics,Reactions with molecularity greater than three are rare because:,Activation energy becomes too low,Simultaneous collision of more than three molecules is highly improbable,Reactants become unstable,Rate of reaction becomes infinite,B,moderate
12,Chemistry,Chemical Kinetics,"For a zero order reaction, the rate of reaction is:",Directly proportional to the reactant concentration,Inversely proportional to reactant concentration,Independent of the reactant concentration,Proportional to the square of reactant concentration,C,moderate
12,Chemistry,Chemical Kinetics,What is the unit of rate constant (k) for a zero order reaction?,s^-1,mol L^-1 s^-1,L mol^-1 s^-1,L^2 mol^-2 s^-1,B,easy
12,Chemistry,Chemical Kinetics,What is the unit of rate constant (k) for a first order reaction?,mol L^-1 s^-1,L mol^-1 s^-1,s^-1,mol^2 L^-2 s^-1,C,easy
12,Chemistry,Chemical Kinetics,What is the unit of rate constant (k) for a second order reaction?,mol L^-1 s^-1,L mol^-1 s^-1,s^-1,L^2 mol^-2 s^-1,B,moderate
12,Chemistry,Chemical Kinetics,A reaction that appears to be of higher order but actually follows first order kinetics under certain conditions is called:,Zero order reaction,Pseudo first order reaction,Fractional order reaction,Elementary reaction,B,moderate
12,Chemistry,Chemical Kinetics,"In the acid-catalyzed hydrolysis of ethyl acetate, water is present in large excess. The reaction is an example of:",Zero order reaction,Second order reaction,Pseudo first order reaction,Third order reaction,C,moderate
12,Chemistry,Chemical Kinetics,The time required for the initial concentration of the reactant to reduce to half its value is called:,Average life,Mean life,Half-life,Reaction time,C,easy
12,Chemistry,Chemical Kinetics,"For a zero order reaction, the half-life is:",Independent of initial concentration,Directly proportional to initial concentration,Inversely proportional to initial concentration,Directly proportional to the square of initial concentration,B,moderate
12,Chemistry,Chemical Kinetics,"For a first order reaction, the half-life is:",Independent of initial concentration,Directly proportional to initial concentration,Inversely proportional to initial concentration,Directly proportional to the square root of initial concentration,A,moderate
12,Chemistry,Chemical Kinetics,"For a first order reaction, the mathematical expression for half-life is:",t_1/2 = [R]0 / 2k,t_1/2 = 0.693 / k,t_1/2 = 1 / k[R]0,t_1/2 = 2.303 / k,B,easy
12,Chemistry,Chemical Kinetics,"According to the Arrhenius equation (k = A e^-Ea/RT), the factor 'A' is called:",Activation energy,Gas constant,Pre-exponential factor or Frequency factor,Equilibrium constant,C,moderate
12,Chemistry,Chemical Kinetics,The minimum extra amount of energy absorbed by the reactant molecules so that their energy becomes equal to the threshold value is called:,Kinetic energy,Potential energy,Activation energy,Gibbs free energy,C,easy
