Class,Subject,Chapter,Question,Option A,Option B,Option C,Option D,Correct Option,Difficulty
12,Biology,Human Reproduction,The primary sex organs in human males are:,Prostate gland,Testes,Seminal vesicles,Epididymis,B,easy
12,Biology,Human Reproduction,"The scrotum helps in maintaining the low temperature of the testes, which is necessary for:",Spermiation,Oogenesis,Spermatogenesis,Ejaculation,C,easy
12,Biology,Human Reproduction,What is the temperature difference maintained by the scrotum compared to the normal internal body temperature?,1-1.5 °C lower,2-2.5 °C lower,3-3.5 °C lower,2-2.5 °C higher,B,moderate
12,Biology,Human Reproduction,Each testis has about how many testicular lobules?,100,250,500,750,B,moderate
12,Biology,Human Reproduction,How many highly coiled seminiferous tubules are present in each testicular lobule?,1 to 3,4 to 6,7 to 9,10 to 12,A,easy
12,Biology,Human Reproduction,Which cells line the inside of the seminiferous tubule?,Leydig cells and Sertoli cells,Male germ cells and Leydig cells,Male germ cells and Sertoli cells,Spermatids and Leydig cells,C,moderate
12,Biology,Human Reproduction,What is the function of Sertoli cells?,Produce androgens,Provide nutrition to the germ cells,Form the blood-brain barrier,Secrete testosterone,B,easy
12,Biology,Human Reproduction,The regions outside the seminiferous tubules called interstitial spaces contain:,Sertoli cells,Leydig cells,Prostate cells,Spermatogonia,B,moderate
12,Biology,Human Reproduction,Leydig cells synthesize and secrete testicular hormones called:,Estrogens,Progesterones,Androgens,Corticosteroids,C,easy
12,Biology,Human Reproduction,Which of the following is NOT a male accessory duct?,Rete testis,Vasa efferentia,Epididymis,Ampulla,D,moderate
12,Biology,Human Reproduction,The vasa efferentia leave the testis and open into the:,Vas deferens,Urethra,Epididymis,Rete testis,C,hard
12,Biology,Human Reproduction,The epididymis is located along the:,Anterior surface of each testis,Posterior surface of each testis,Superior surface of each testis,Inferior surface of each testis,B,hard
12,Biology,Human Reproduction,The vas deferens ascends to the abdomen and loops over the:,Urinary bladder,Ureter,Prostate gland,Seminal vesicle,A,moderate
12,Biology,Human Reproduction,The ejaculatory duct is formed by the union of the vas deferens and a duct from the:,Prostate gland,Bulbourethral gland,Seminal vesicle,Cowper's gland,C,moderate
12,Biology,Human Reproduction,The terminal portion of the male reproductive system that extends through the penis is the:,Ureter,Urethra,Vas deferens,Ejaculatory duct,B,easy
