Class,Subject,Chapter,Question,Option A,Option B,Option C,Option D,Correct Option,Difficulty
12,Chemistry,Electrochemistry,What is the device that converts chemical energy of a spontaneous redox reaction into electrical energy?,Galvanic cell,Electrolytic cell,Voltmeter,Ammeter,A,easy
12,Chemistry,Electrochemistry,"In a galvanic cell, oxidation occurs at the:",Cathode,Anode,Salt bridge,Electrolyte,B,easy
12,Chemistry,Electrochemistry,"In a galvanic cell, the anode has what polarity?",Positive,Negative,Neutral,Alternating,B,moderate
12,Chemistry,Electrochemistry,"In an electrolytic cell, the cathode has what polarity?",Positive,Negative,Neutral,Alternating,B,moderate
12,Chemistry,Electrochemistry,The standard hydrogen electrode (SHE) is assigned a standard electrode potential of:,1.00 V,0.00 V,0.76 V,0.34 V,B,easy
12,Chemistry,Electrochemistry,Which of the following functions does a salt bridge serve?,Allows flow of electrons,Maintains electrical neutrality in both half-cells,Increases the EMF of the cell,Catalyzes the redox reaction,B,moderate
12,Chemistry,Electrochemistry,The potential difference between the two electrodes of a galvanic cell in an open circuit is called:,Electromotive force (EMF),Cell potential,Overvoltage,Standard potential,A,easy
12,Chemistry,Electrochemistry,"If the standard cell potential (E°cell) is positive, the reaction is:",Non-spontaneous,Spontaneous,At equilibrium,Cannot be determined,B,easy
12,Chemistry,Electrochemistry,The standard Gibbs free energy change (Delta G°) is related to standard cell potential (E°cell) by the equation:,Delta G° = -nFE°cell,Delta G° = nFE°cell,Delta G° = -E°cell/nF,Delta G° = -RT ln K,A,moderate
12,Chemistry,Electrochemistry,The Nernst equation is used to calculate the:,Cell potential under non-standard conditions,Standard cell potential,Equilibrium constant only,Faraday's constant,A,easy
12,Chemistry,Electrochemistry,Resistance of a conductor is directly proportional to its length and inversely proportional to its:,Temperature,Area of cross-section,Resistivity,Volume,B,easy
12,Chemistry,Electrochemistry,The SI unit of resistivity is:,Ohm m,Ohm / m,Ohm,Siemens,A,easy
12,Chemistry,Electrochemistry,The reciprocal of electrical resistance is called:,Resistivity,Conductance,Conductivity,Cell constant,B,easy
12,Chemistry,Electrochemistry,The SI unit of conductance is:,Ohm,Siemens (S),Ohm m,Siemens m,B,easy
12,Chemistry,Electrochemistry,The conductivity (specific conductance) of a solution is the conductance of one unit volume of solution kept between two platinum electrodes with unit area of cross section and at a distance of:,Unit length,Two units length,Half unit length,Ten units length,A,easy
12,Chemistry,Electrochemistry,The SI unit of conductivity is:,S m,S / m,S m^2 / mol,Ohm m,B,moderate
12,Chemistry,Electrochemistry,Molar conductivity is defined as:,Conductivity / Molarity,Conductivity * Molarity,Molarity / Conductivity,Conductance / Molarity,A,moderate
12,Chemistry,Electrochemistry,The SI unit of molar conductivity is:,S m^2 mol^-1,S m^-2 mol,S m mol^-1,S / m,A,moderate
12,Chemistry,Electrochemistry,"With dilution, the specific conductivity of a solution:",Increases,Decreases,Remains constant,First increases then decreases,B,hard
12,Chemistry,Electrochemistry,"With dilution, the molar conductivity of a solution:",Increases,Decreases,Remains constant,First decreases then increases,A,hard
12,Chemistry,Electrochemistry,Kohlrausch's law of independent migration of ions is applicable to:,Strong electrolytes only,Weak electrolytes only,Both strong and weak electrolytes at infinite dilution,Non-electrolytes,C,moderate
12,Chemistry,Electrochemistry,Faraday's first law of electrolysis states that the mass of a substance deposited or liberated at any electrode is directly proportional to the:,Quantity of electricity passed,Voltage applied,Concentration of electrolyte,Temperature of the solution,A,easy
12,Chemistry,Electrochemistry,One Faraday is equal to the charge on:,One mole of electrons,One electron,One mole of protons,One gram-equivalent of an ion,A,easy
12,Chemistry,Electrochemistry,The approximate value of one Faraday constant is:,96487 C / mol,6.022 x 10^23 C,1.6 x 10^-19 C,9.8 m/s^2,A,easy
