Class,Subject,Chapter,Question,Option A,Option B,Option C,Option D,Correct Option,Difficulty
12,Chemistry,Solutions,What is a homogeneous mixture of two or more substances called?,Solution,Suspension,Colloid,Emulsion,A,easy
12,Chemistry,Solutions,The component that is present in the largest quantity in a solution is known as:,Solute,Solvent,Precipitate,Residue,B,easy
12,Chemistry,Solutions,Which of the following is an example of a gaseous solution?,Air,Brass,Salt in water,Glucose in water,A,easy
12,Chemistry,Solutions,Which of the following is a solid solution?,Brass,Soda water,Air,Ethanol in water,A,easy
12,Chemistry,Solutions,Which concentration term is independent of temperature?,Molarity,Molality,Normality,Volume percentage,B,moderate
12,Chemistry,Solutions,Molarity is defined as the number of moles of solute dissolved in:,1 kg of solvent,1 litre of solution,1 kg of solution,1 litre of solvent,B,easy
12,Chemistry,Solutions,Molality is defined as the number of moles of solute dissolved per:,kg of solvent,litre of solution,kg of solution,litre of solvent,A,easy
12,Chemistry,Solutions,The sum of mole fractions of all components in a solution is always equal to:,Zero,One,100,Depends on the number of components,B,easy
12,Chemistry,Solutions,"According to Henry's law, the partial pressure of a gas in vapor phase is proportional to the:",Molarity of the gas in solution,Molality of the gas in solution,Mole fraction of the gas in solution,Volume of the solution,C,moderate
12,Chemistry,Solutions,The value of Henry's law constant (K_H):,Increases with increase in temperature,Decreases with increase in temperature,Remains constant with temperature changes,First increases then decreases with temperature,A,hard
12,Chemistry,Solutions,"Higher the value of K_H at a given pressure, the:",Higher is the solubility of the gas in the liquid,Lower is the solubility of the gas in the liquid,Solubility remains unaffected,Gas becomes a solid,B,hard
12,Chemistry,Solutions,An aqualung used by scuba divers is filled with air diluted with which gas to avoid bends?,Nitrogen,Oxygen,Helium,Hydrogen,C,moderate
12,Chemistry,Solutions,"Raoult's law states that for a solution of volatile liquids, the partial vapor pressure of each component is directly proportional to its:",Molarity,Molality,Mole fraction,Mass percentage,C,moderate
12,Chemistry,Solutions,A solution that obeys Raoult's law strictly over the entire range of concentration is known as an:,Ideal solution,Non-ideal solution,Azeotropic mixture,Colloidal solution,A,easy
12,Chemistry,Solutions,"For an ideal solution, the enthalpy of mixing (Delta H_mix) and volume of mixing (Delta V_mix) are respectively:","Zero, Zero","Positive, Positive","Negative, Negative","Positive, Zero",A,moderate
12,Chemistry,Solutions,Which of the following pairs forms an ideal solution?,Ethanol and Acetone,Chloroform and Acetone,n-Hexane and n-Heptane,Nitric acid and Water,C,hard
12,Chemistry,Solutions,Non-ideal solutions showing positive deviation from Raoult's law have intermolecular attractive forces between solute-solvent (A-B) that are:,Weaker than those between A-A or B-B,Stronger than those between A-A or B-B,Equal to those between A-A or B-B,Zero,A,hard
12,Chemistry,Solutions,Which mixture shows a positive deviation from Raoult's law?,Ethanol and Acetone,Chloroform and Acetone,Phenol and Aniline,Nitric acid and Water,A,hard
12,Chemistry,Solutions,Mixtures of liquids which boil at constant temperature like a pure liquid and possess same composition of components in liquid as well as in vapor phase are called:,Ideal solutions,Azeotropes,Supersaturated solutions,Colloids,B,moderate
