Class,Subject,Chapter,Question,Option A,Option B,Option C,Option D,Correct Option,Difficulty
12,Physics,Electric Charges and Fields,What is the SI unit of electric charge?,Coulomb,Ampere,Volt,Ohm,A,easy
12,Physics,Electric Charges and Fields,Which of the following is a property of electric charge?,It is not conserved,It is continuous,It is quantized,It depends on the velocity of the body,C,easy
12,Physics,Electric Charges and Fields,The value of the fundamental charge (e) is approximately:,1.6 x 10^-19 C,9 x 10^9 C,8.85 x 10^-12 C,6.67 x 10^-11 C,A,easy
12,Physics,Electric Charges and Fields,Coulomb's law is valid for:,Only point charges,Only spherical charges,Any shaped charges,Only positive charges,A,moderate
12,Physics,Electric Charges and Fields,The constant k in Coulomb's law (in free space) has the value:,9 x 10^9 N m^2/C^2,8.85 x 10^-12 N m^2/C^2,1.6 x 10^-19 N m^2/C^2,1 / (4 pi),A,easy
12,Physics,Electric Charges and Fields,What is the dimensional formula for electric field?,[M L T^-3 A^-1],[M L^2 T^-3 A^-1],[M L T^-2 A^-1],[M L^2 T^-2 A^-1],A,moderate
12,Physics,Electric Charges and Fields,Electric field lines originate from:,Negative charges and end on positive charges,Positive charges and end on negative charges,Infinity and end at infinity,Magnetic north poles,B,easy
12,Physics,Electric Charges and Fields,Two electric field lines:,Can intersect at a neutral point,Intersect at an angle of 90 degrees,Never intersect each other,Intersect only in a uniform field,C,moderate
12,Physics,Electric Charges and Fields,Electric flux is a:,Vector quantity,Scalar quantity,Tensor quantity,Dimensionless quantity,B,easy
12,Physics,Electric Charges and Fields,The SI unit of electric flux is:,N m/C,N m^2/C,V/m,N C/m^2,B,moderate
12,Physics,Electric Charges and Fields,"According to Gauss's law, the total electric flux through a closed surface is equal to:",q / epsilon_0,epsilon_0 / q,q * epsilon_0,zero,A,easy
12,Physics,Electric Charges and Fields,The electric field inside a charged spherical conducting shell is:,Infinity,Zero,Constant but non-zero,Directly proportional to radius,B,moderate
12,Physics,Electric Charges and Fields,An electric dipole placed in a uniform electric field experiences:,Only a net force,Only a torque,Both a net force and a torque,Neither force nor torque,B,moderate
12,Physics,Electric Charges and Fields,The torque acting on an electric dipole in a uniform electric field is maximum when the angle between dipole moment and electric field is:,0 degrees,45 degrees,90 degrees,180 degrees,C,easy
12,Physics,Electric Charges and Fields,Electric dipole moment is a vector directed from:,Positive to negative charge,Negative to positive charge,Center to positive charge,Center to negative charge,B,moderate
12,Physics,Electric Charges and Fields,The SI unit of electric dipole moment is:,Coulomb / meter,Coulomb meter,Coulomb meter^2,Newton / Coulomb,B,easy
12,Physics,Electric Charges and Fields,Which material has a relative permittivity (dielectric constant) greater than 1?,Vacuum,Air,Water,Both Air and Water,C,moderate
12,Physics,Electric Charges and Fields,"When a dielectric is introduced between two point charges, the electrostatic force between them:",Increases,Decreases,Remains same,Becomes zero,B,hard
