Question No,Difficulty,Question,Option A,Option B,Option C,Option D,Correct Option
1,Easy,Mass percentage is defined as?,Mass of solute/Mass of solution ×100,Mass of solvent/Mass of solution ×100,Moles of solute/Litre,Mass/Litre,A
2,Easy,Unit of molarity is?,mol L⁻¹,mol kg⁻¹,g L⁻¹,No unit,A
3,Easy,Unit of molality is?,mol kg⁻¹,mol L⁻¹,g kg⁻¹,ppm,A
4,Easy,Henry's law equation is?,p = KH x,PV=nRT,π=CRT,ΔTb=Kbm,A
5,Easy,Raoult's law for solvent is?,P = X P°,P=X²P°,P=P°/X,P=X+P°,A
6,Easy,Boiling point elevation formula?,ΔTb=Kbm,ΔTf=Kfm,π=CRT,p=KHx,A
7,Easy,Freezing point depression formula?,ΔTf=Kfm,ΔTb=Kbm,PV=nRT,π=nRT,A
8,Easy,Osmotic pressure formula?,π=CRT,π=Kfm,π=Kbm,π=P°X,A
9,Easy,van't Hoff factor denotes?,Association/Dissociation effect,Density,Pressure,Volume,A
10,Easy,Mole fraction sum equals?,1,0,100,Depends,A
11,Easy,Mass percentage is defined as?,Mass of solute/Mass of solution ×100,Mass of solvent/Mass of solution ×100,Moles of solute/Litre,Mass/Litre,A
12,Easy,Unit of molarity is?,mol L⁻¹,mol kg⁻¹,g L⁻¹,No unit,A
13,Easy,Unit of molality is?,mol kg⁻¹,mol L⁻¹,g kg⁻¹,ppm,A
14,Easy,Henry's law equation is?,p = KH x,PV=nRT,π=CRT,ΔTb=Kbm,A
15,Easy,Raoult's law for solvent is?,P = X P°,P=X²P°,P=P°/X,P=X+P°,A
16,Easy,Boiling point elevation formula?,ΔTb=Kbm,ΔTf=Kfm,π=CRT,p=KHx,A
17,Easy,Freezing point depression formula?,ΔTf=Kfm,ΔTb=Kbm,PV=nRT,π=nRT,A
18,Easy,Osmotic pressure formula?,π=CRT,π=Kfm,π=Kbm,π=P°X,A
19,Easy,van't Hoff factor denotes?,Association/Dissociation effect,Density,Pressure,Volume,A
20,Easy,Mole fraction sum equals?,1,0,100,Depends,A
21,Easy,Mass percentage is defined as?,Mass of solute/Mass of solution ×100,Mass of solvent/Mass of solution ×100,Moles of solute/Litre,Mass/Litre,A
22,Easy,Unit of molarity is?,mol L⁻¹,mol kg⁻¹,g L⁻¹,No unit,A
23,Easy,Unit of molality is?,mol kg⁻¹,mol L⁻¹,g kg⁻¹,ppm,A
24,Easy,Henry's law equation is?,p = KH x,PV=nRT,π=CRT,ΔTb=Kbm,A
25,Easy,Raoult's law for solvent is?,P = X P°,P=X²P°,P=P°/X,P=X+P°,A
26,Easy,Boiling point elevation formula?,ΔTb=Kbm,ΔTf=Kfm,π=CRT,p=KHx,A
27,Easy,Freezing point depression formula?,ΔTf=Kfm,ΔTb=Kbm,PV=nRT,π=nRT,A
28,Easy,Osmotic pressure formula?,π=CRT,π=Kfm,π=Kbm,π=P°X,A
29,Easy,van't Hoff factor denotes?,Association/Dissociation effect,Density,Pressure,Volume,A
30,Easy,Mole fraction sum equals?,1,0,100,Depends,A
31,Easy,Mass percentage is defined as?,Mass of solute/Mass of solution ×100,Mass of solvent/Mass of solution ×100,Moles of solute/Litre,Mass/Litre,A
32,Easy,Unit of molarity is?,mol L⁻¹,mol kg⁻¹,g L⁻¹,No unit,A
33,Easy,Unit of molality is?,mol kg⁻¹,mol L⁻¹,g kg⁻¹,ppm,A
34,Easy,Henry's law equation is?,p = KH x,PV=nRT,π=CRT,ΔTb=Kbm,A
35,Easy,Raoult's law for solvent is?,P = X P°,P=X²P°,P=P°/X,P=X+P°,A
36,Easy,Boiling point elevation formula?,ΔTb=Kbm,ΔTf=Kfm,π=CRT,p=KHx,A
37,Easy,Freezing point depression formula?,ΔTf=Kfm,ΔTb=Kbm,PV=nRT,π=nRT,A
38,Easy,Osmotic pressure formula?,π=CRT,π=Kfm,π=Kbm,π=P°X,A
39,Easy,van't Hoff factor denotes?,Association/Dissociation effect,Density,Pressure,Volume,A
40,Easy,Mole fraction sum equals?,1,0,100,Depends,A
41,Moderate,"If moles of solute =2 and solvent=8 mol, mole fraction of solute?",0.2,0.25,0.5,0.8,A
42,Moderate,Increasing temperature generally increases solubility of most solids in liquids?,True,False,Never,Only gases,A
43,Moderate,Colligative properties depend on?,Number of particles,Nature of particles,Colour,Odour,A
44,Moderate,Gas solubility increases with?,Higher pressure,Higher temperature,Lower pressure,None,A
45,Moderate,Molality is independent of?,Temperature,Mass,Moles,Solute,A
46,Moderate,"If moles of solute =2 and solvent=8 mol, mole fraction of solute?",0.2,0.25,0.5,0.8,A
47,Moderate,Increasing temperature generally increases solubility of most solids in liquids?,True,False,Never,Only gases,A
48,Moderate,Colligative properties depend on?,Number of particles,Nature of particles,Colour,Odour,A
49,Moderate,Gas solubility increases with?,Higher pressure,Higher temperature,Lower pressure,None,A
50,Moderate,Molality is independent of?,Temperature,Mass,Moles,Solute,A
51,Moderate,"If moles of solute =2 and solvent=8 mol, mole fraction of solute?",0.2,0.25,0.5,0.8,A
52,Moderate,Increasing temperature generally increases solubility of most solids in liquids?,True,False,Never,Only gases,A
53,Moderate,Colligative properties depend on?,Number of particles,Nature of particles,Colour,Odour,A
54,Moderate,Gas solubility increases with?,Higher pressure,Higher temperature,Lower pressure,None,A
55,Moderate,Molality is independent of?,Temperature,Mass,Moles,Solute,A
56,Moderate,"If moles of solute =2 and solvent=8 mol, mole fraction of solute?",0.2,0.25,0.5,0.8,A
57,Moderate,Increasing temperature generally increases solubility of most solids in liquids?,True,False,Never,Only gases,A
58,Moderate,Colligative properties depend on?,Number of particles,Nature of particles,Colour,Odour,A
59,Moderate,Gas solubility increases with?,Higher pressure,Higher temperature,Lower pressure,None,A
60,Moderate,Molality is independent of?,Temperature,Mass,Moles,Solute,A
61,Moderate,"If moles of solute =2 and solvent=8 mol, mole fraction of solute?",0.2,0.25,0.5,0.8,A
62,Moderate,Increasing temperature generally increases solubility of most solids in liquids?,True,False,Never,Only gases,A
63,Moderate,Colligative properties depend on?,Number of particles,Nature of particles,Colour,Odour,A
64,Moderate,Gas solubility increases with?,Higher pressure,Higher temperature,Lower pressure,None,A
65,Moderate,Molality is independent of?,Temperature,Mass,Moles,Solute,A
66,Moderate,"If moles of solute =2 and solvent=8 mol, mole fraction of solute?",0.2,0.25,0.5,0.8,A
67,Moderate,Increasing temperature generally increases solubility of most solids in liquids?,True,False,Never,Only gases,A
68,Moderate,Colligative properties depend on?,Number of particles,Nature of particles,Colour,Odour,A
69,Moderate,Gas solubility increases with?,Higher pressure,Higher temperature,Lower pressure,None,A
70,Moderate,Molality is independent of?,Temperature,Mass,Moles,Solute,A
71,Moderate,"If moles of solute =2 and solvent=8 mol, mole fraction of solute?",0.2,0.25,0.5,0.8,A
72,Moderate,Increasing temperature generally increases solubility of most solids in liquids?,True,False,Never,Only gases,A
73,Moderate,Colligative properties depend on?,Number of particles,Nature of particles,Colour,Odour,A
74,Moderate,Gas solubility increases with?,Higher pressure,Higher temperature,Lower pressure,None,A
75,Moderate,Molality is independent of?,Temperature,Mass,Moles,Solute,A
76,Moderate,"If moles of solute =2 and solvent=8 mol, mole fraction of solute?",0.2,0.25,0.5,0.8,A
77,Moderate,Increasing temperature generally increases solubility of most solids in liquids?,True,False,Never,Only gases,A
78,Moderate,Colligative properties depend on?,Number of particles,Nature of particles,Colour,Odour,A
79,Moderate,Gas solubility increases with?,Higher pressure,Higher temperature,Lower pressure,None,A
80,Moderate,Molality is independent of?,Temperature,Mass,Moles,Solute,A
