Class,Subject,Chapter,Question,Option A,Option B,Option C,Option D,Correct Option,Difficulty
12,Biology,Reproductive Health,"According to the World Health Organization (WHO), reproductive health means a total well-being in all aspects of reproduction, i.e.,","Physical, emotional, behavioural and social",Physical and physiological,"Physical, mental and financial",Social and economic,A,easy
12,Biology,Reproductive Health,India was among the first countries in the world to initiate action plans and programmes at a national level to attain total reproductive health in the year:,1947,1951,1971,1991,B,easy
12,Biology,Reproductive Health,The national reproductive health programmes are popularly known by the name:,Reproductive and Child Health Care (RCH) programmes,Family Planning Programmes (FPP),National Health Mission (NHM),Maternal and Child Welfare (MCW),A,easy
12,Biology,Reproductive Health,What is the statutory marriageable age for females and males respectively in India?,18 years and 21 years,21 years and 18 years,18 years and 18 years,21 years and 21 years,A,easy
12,Biology,Reproductive Health,The world population which was around 2 billion in 1900 rocketed to about what number by 2000?,6 billion,4 billion,7.2 billion,8 billion,A,moderate
12,Biology,Reproductive Health,The oral contraceptive pill 'Saheli' was developed by scientists at:,"AIIMS, New Delhi","CDRI, Lucknow","IICB, Kolkata","CCMB, Hyderabad",B,easy
12,Biology,Reproductive Health,A statutory ban on which technique was implemented to legally check increasing female foeticides?,Amniocentesis for sex determination,Ultrasound for growth monitoring,IVF,MTP,A,moderate
12,Biology,Reproductive Health,Amniocentesis is a foetal sex determination and disorder diagnostic test based on the chromosomal pattern in the:,Blood of the mother,Amniotic fluid surrounding the developing embryo,Placental tissue,Umbilical cord,B,moderate
12,Biology,Reproductive Health,Which of the following is a natural method of contraception?,Condom,Periodic abstinence,Copper-T,Oral pills,B,easy
12,Biology,Reproductive Health,"In the periodic abstinence method, couples avoid or abstain from coitus from which days of the menstrual cycle?",Day 1 to 5,Day 10 to 17,Day 18 to 25,Day 25 to 28,B,moderate
12,Biology,Reproductive Health,The contraceptive method based on the fact that ovulation and therefore the cycle do not occur during the period of intense lactation following parturition is called:,Withdrawal method,Coitus interruptus,Lactational amenorrhea,Periodic abstinence,C,easy
12,Biology,Reproductive Health,Lactational amenorrhea is generally effective up to a maximum period of how many months following parturition?,3 months,6 months,9 months,12 months,B,moderate
